variable,transformacion,antes,despues
DIRECCION,quitar_puntuacion_borde,"'CALLE CORONA, LOTE 109 MANZANA 29, CIUDAD REAL I,'","'CALLE CORONA, LOTE 109 MANZANA 29, CIUDAD REAL I'"
DIRECCION,quitar_puntuacion_borde,"'4A. CALLE 1-53 ZONA 1, JUTIAPA, JUTIAPA.'","'4A. CALLE 1-53 ZONA 1, JUTIAPA, JUTIAPA'"
DIRECCION,quitar_puntuacion_borde,"'VILA CHINITO, KM. 143 FRENTE AL HOSPITAL NACIONAL.'","'VILA CHINITO, KM. 143 FRENTE AL HOSPITAL NACIONAL'"
DIRECCION,quitar_puntuacion_borde,"'20 AVENIDA 0-23 ZONA 1,'",'20 AVENIDA 0-23 ZONA 1'
DIRECCION,quitar_puntuacion_borde,"'CALLE RODOLFO ROBLES 12-20 ZONA 3,'",'CALLE RODOLFO ROBLES 12-20 ZONA 3'
SUPERVISOR,quitar_puntuacion_borde,'MABELLINE DAHAN ALDANA RODAS DE PINZON.','MABELLINE DAHAN ALDANA RODAS DE PINZON'
SUPERVISOR,quitar_puntuacion_borde,"'AMALIA ESTER LIX\xa0 SOCOP\xa0 DE CHUY,'",'AMALIA ESTER LIX\xa0 SOCOP\xa0 DE CHUY'
SUPERVISOR,quitar_puntuacion_borde,'ENMA ELIZABETH GONZÁLEZ FAJARDO DE QUIÑONEZ.','ENMA ELIZABETH GONZÁLEZ FAJARDO DE QUIÑONEZ'
SUPERVISOR,quitar_puntuacion_borde,'ENMA ELIZABETH GONZÁLEZ FAJARDO DE QUIÑONEZ.','ENMA ELIZABETH GONZÁLEZ FAJARDO DE QUIÑONEZ'
DIRECTOR,quitar_puntuacion_borde,'------------',''
DIRECTOR,quitar_puntuacion_borde,'---',''
DIRECTOR,quitar_puntuacion_borde,'---',''
DIRECTOR,quitar_puntuacion_borde,'---',''
DIRECTOR,quitar_puntuacion_borde,'---',''
TELEFONO,separar_telefono_multivalor,"'24314989, 24310955'",'24314989'
TELEFONO,separar_telefono_multivalor,'59352245-79438029','59352245'
TELEFONO,separar_telefono_multivalor,'79540830-79540909','79540830'
TELEFONO,separar_telefono_multivalor,'24333306-24342926','24333306'
TELEFONO,separar_telefono_multivalor,'52187388-47698840','52187388'
TELEFONO,normalizar_telefono,'2220-1723','22201723'
