variable,problema,valor,frecuencia
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO PARTICULAR MIXTO  ""LA SAGRADA FAMILIA""",2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PARTICULAR MIXTO  NUESTRA SEÑORA DE LA ASUNCION,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PARTICULAR MIXTO DE FORMACION Y DESARROLLO PROFESIONAL  INDEFORP,2
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO PARTICULAR MIXTO EVANGELICO  ""SAMARIA""",2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  PARTICULAR MIXTO SAN JOSÉ OBRERO I,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO BILINGUE  KAJI IMOX,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  AMERICANO EN CIENCIAS DE COMPUTACION,2
ESTABLECIMIENTO,espacios multiples internos,ESCUELA DE CIENCIAS EMPRESARIALES  ECCE,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO MUNICIPAL DE EDUCACIÓN TECNOLÓGICA  PACHALUM -IMET-,2
ESTABLECIMIENTO,espacios multiples internos,"INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, HERMÓGENES LÓPEZ COARCHITA",2
ESTABLECIMIENTO,espacios multiples internos,LICEO  MIXTO DEL NORTE,2
ESTABLECIMIENTO,espacios multiples internos,LICEO CIENTIFICO TECNOLOGICO  ISRAEL,2
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PARTICULAR MIXTO  ""PEDRO MOLINA""",2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO EJECUTIVO PRE-UNIVERSITARIO EN COMPUTACION  CLASSE,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO TECNICO PRIVADO  MARIANO GALVEZ,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  PSICOPEDAGOGICO QUETZALTECO,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO  CORAZON DE JESUS,2
ESTABLECIMIENTO,espacios multiples internos,"COLEGIO DE CIENCIAS COMERCIALES  ""LAS CRUCES""",2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PRIVADO MIXTO  MALACATECO,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO TECNOLOGICO BILINGUE  EL HERMANO PEDRO,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO MIXTO  SAN JOSE,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO BASICO ESQUIPULTECO Y CIENCIAS COMERCIALES  INBECC,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO  TECNOLÓGICO DE COMPUTACION  I.T.C.,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  PRACTICO SECRETARIAL,2
ESTABLECIMIENTO,espacios multiples internos,CENTRO EDUCATIVO  AMOR Y ENSEÑANZA,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO  LICEO MARQUENSE,2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO CRISTIANO  UN NUEVO DIA,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PARTICULAR MIXTO  DEMOCRACENSE,2
ESTABLECIMIENTO,espacios multiples internos,ASOCIACIÓN DE MAESTROS DE EDUCACIÓN RURAL DE GUATEMALA  AMERG,2
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PRIVADO MIXTO DIVERSIFICADO  ""JACALTENANGO""",2
ESTABLECIMIENTO,espacios multiples internos,"INSTITUTO PARTICULAR MIXTO  ""EL DIVINO MAESTRO""",2
ESTABLECIMIENTO,espacios multiples internos,COLEGIO PRIVADO MIXTO DE EDUC. BASICA Y BACH. POR MADUREZ  PAULO FREIRE,2
ESTABLECIMIENTO,espacios multiples internos,INSTITUTO PARTICULAR MIXTO  MODERNO JALAPANECO,2
