variable,problema,valor,frecuencia
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO CRISTIANO PRIVADO MIXTO CRISTO VIENE,2
ESTABLECIMIENTO,categoria duplicada por escritura,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA, PRONEA",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARTICULAR MIXTO 'MATIAS DE GALVEZ',2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO PRIVADO MIXTO DE FORMACIÓN JUVENIL ""RÍO DULCE""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO EDUCATIVO ""MAYA SYSTEMS""",2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO ELITE,2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO PRIVADO MIXTO ""JOSÉ CECILIO DEL VALLE""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PRIVADO MIXTO ""BETHEZDA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PARTICULAR MIXTO RAFAEL AREVALO MARTINEZ,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO J. HARVARD,2
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA PARTICULAR MIXTA LICENCIADO DAVID VELA,2
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO DE ESTUDIOS DE INGENIERIA Y ARQUITECTURA  ""REMBRANDT""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO DEL NIVEL MEDIO ""SUPERACIÓN""",2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNOLÓGICO BILINGÜE CHIQUIMULTECO,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TECNICO INDUSTRIAL ALBERT EINSTEIN,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO EVANGELICO MIXTO  ADONAI,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PARTICULAR MIXTO ""LA SAGRADA FAMILIA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARTICULAR MIXTO CENTRO DE ESTUDIOS DE INFORMÁTICA COMPUMASTER,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO MIXTO BELÉN,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD -INTECAP-,2
ESTABLECIMIENTO,categoria duplicada por escritura,"""CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX- DEPARTAMENTAL""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARTICULAR MIXTO BILINGÜE SANTA FE,2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO TECNICO PARTICULAR DE DIVERSIFICADO, INTECPADI",2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO DE FORMACIÓN INTEGRAL,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PARTICULAR MIXTO EL JÍCARO,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PRIVADO ""SAN FRANCISCO DE ASÍS""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO BILINGUE SANTA FE,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARTICULAR MIXTO LICEO ESTANZUELA,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO TECNICO DE COMPUTACION C.T.S,2
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO CRISTIANO CON ORIENTACION UNIVERSITARIA EL SHADDAI,2
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO CRISTIANO CON ORIENTACION UNIVERSITARIA  EL SHADDAI,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA INED,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL-IMEBI-,2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO EDUCATIVO ARTE Y CULTURA,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA -INED-,2
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO EDUCATIVO BILINGÜE ""VALPARAISO DE JESUS""",2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TÉCNICO INDUSTRIAL HENRY FORD,2
ESTABLECIMIENTO,categoria duplicada por escritura,"LICEO CRISTIANO CON ORIENTACION UNIVERSITARIA ""EL SHADDAI""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO PRIVADO  ""SAN PEDRO MARTIR DE VERONA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO DE CIENCIAS COMERCIALES ""LAS CRUCES""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO EDUCATIVO TÉCNICO PORTILLO ""CETPORT""",2
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA PRIVADA MIXTA DE FORMACION ARTÍSTICA QUETZALTENANGO,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PREUNIVERSITARIO SALAMANCA,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PRE-UNIVERSITARIO ""FRIEDRICH VON HAYEK""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO TÉCNICO INDUSTRIAL ""HENRY FORD""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO CRISTIANO GUATEMALTECO,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO PRE-UNIVERSITARIO OSTUNCALCO,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRE-UNIVERSITARIO AMÉRICA MODERNA,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO ""CENTROAMERICANO""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO PARTICULAR MIXTO  ""PEDRO MOLINA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PRIVADO MIXTO ""ISAAC NEWTON""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO EJECUTIVO PRE-UNIVERSITARIO EN COMPUTACION  CLASSE,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO BILINGUE INTERCULTURAL ""HERMANO OSCAR AZMITIA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO  GUATEMALTECO DE COMPUTACION,2
ESTABLECIMIENTO,categoria duplicada por escritura,"""LICEO INTERCULTURAL PACHALUMENSE""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO EDUCATIVO ""JUAN PABLO II""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO TECNOLÓGICO ""BLAISE PASCAL""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO EVANGÉLICO MIXTO ""SINAÍ""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO MIXTO NUEVA GENERACIÓN,2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO DE COMPUTACION 'C.S.S',2
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO DE ESTUDIOS INTEGRADOS SAN SEBASTIÁN CEEDISS,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO MIXTO DE EDUCACIÓN DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO CRISTIANO EL VALLE DEL SUR,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO INDIGENA NUESTRA SEÑORA DEL SOCORRO,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO MONTESSORI,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO PRIVADO ""SAN PEDRO MARTIR DE VERONA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNICO  QUEZALTEPEQUE,2
ESTABLECIMIENTO,categoria duplicada por escritura,"LICEO ""FUENTE DE VIDA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO MIXTO CRISTIANO 'JIREH',2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO CIENTÍFICO INTEGRAL,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO EVANGELICO PRIVADO MIXTO 'BETHESDA',2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO PREUNIVERSITARIO PANAMERICANO,2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO CRISTIANO PREUNIVERSITARIO 'BETEL',2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO CRISTIANO SENDAS NUEVAS,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO  MALACATECO,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO SAN LORENZO,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO CRISTIANO GENERACIÓN DEL TERCER MILENIO,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TECNOLÓGICO PRIVADO MIXTO EVANGÉLICO SUNESIS,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO EVANGELICO TECNOLOGICO PRIVADO MIXTO BERSHEBA BLESS GOD,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PRIVADO URBANO MIXTO ""LICEO MODERNO""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"LICEO ""SAN ANTONIO""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO SAN JOSÉ,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO TECNICO DE COMPUTACION C.T.S.,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO MIXTO  LICEO MAZATECO,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO MIXTO PERPETUO SOCORRO,2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO PRIVADO MIXTO ""JOSE ERNESTO MONZON""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PRIVADO MIXTO ""LICEO MAZATECO""",2
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO PEDAGOGICO ""GUATEMALA""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO  FUENTE DE BENDICION,2
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO TECNICO  PRIVADO ""JOSE ORTEGA Y  GASSET""",2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO DE COMPUTACION BLAISE PASCAL,2
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO  GALILEO GALILEI,2
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO MIXTO  BELÉN,2
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO PROFESIONAL  VISION EDUCATIVA 2000,2
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO MIXTO LICEO DEL VALLE,2
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO DE EDUCACIÓN PARA ADULTOS ""SEMILLA DE VIDA""",1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO MIXTO RENACIMIENTO,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO BASICO ESQUIPULTECO Y CIENCIAS COMERCIALES (INBECC),1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MUNICIPAL DE EDUCACIÓN DIVERSIFICADA,1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PARTICULAR MIXTO ""PROYECCION""",1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARTICULAR MIXTO PROYECCIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARTICULAR MIXTO CATÓLICO NUESTRA SEÑORA DE LA ESPERANZA,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PRIVADO DE BACHILLERATO POR MADUREZ  EMMANUEL,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO TECNICO PROGRESISTA CETECPRO,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA CENTRO EDUCACIONAL GUATEMALTECO,1
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL  JESUS MARIA ALVARADO,1
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA NORMAL PARA MAESTROS DE EDUCACION MUSICAL JESUS MARIA ALVARADO,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNOLÓGICO GUATEMALA DE LA  ASUNCIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PROFESIONAL DE TÉCNICAS COMERCIALES ESPECIALIZADAS IPTCE,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNOLÓGICO GUATEMALA DE LA  ASUNCION,1
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO MIXTO "" MIGUEL DE CERVANTES """,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO NACIONAL CENTRAL PARA VARONES,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO 'EL ROSARIO',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO PARA SEÑORITAS DE EDUCACION DIVERSIFICADA BILINGUE GUATEMALTECO,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCACIONAL MIXTO PRIVADO  KINGSTON,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PARTICULAR MIXTO JOSE MARTI,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO 'PRE-UNIVERSITARIO CATOLICO DE GUATEMALA',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO DE EDUCACION DIVERSIFICADA 'RAFAEL LANDIVAR',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA HUMANIDADES,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO TECNICO COMERCIAL NAHUALA,1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO PARA ADULTOS ""AHALCAB""",1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO DE INNOVACION TECNOLOGICA EDUCATIVA (C.I.T.E),1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO GUILLERMO PUTZEYS ALVAREZ,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO AMERICA,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO PARA VARONES SAN SEBASTIAN,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO EL CAMINO,1
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA PRIVADA PARA SEÑORITAS SILOHE,1
ESTABLECIMIENTO,categoria duplicada por escritura,"ESCUELA NORMAL PARA MAESTROS DE EDUCACIÒN MUSICAL ""JESÚS MARÍA ALVARADO""",1
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO EDUCATIVO ""MONTENEVADO""",1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO  MIXTO ""INDO LATINO¨",1
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA NORMAL PARA MAESTROS DE EDUCACIÓN MUSICAL JESÚS MARÍA ALVARADO,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO NORMAL PARA SEÑORITAS CENTRO AMÉRICA,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TÉCNICO COMERCIAL,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE EDUCACIÓN Y CULTURA MIRTHALA DE HURTADO,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO ITALO GUATEMALTECO,1
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO DE EDUCACIÓN BÁSICA Y BACHILLERATO EN CIENCIAS Y LETRAS POR MADUREZ ""DOCTOR JUAN JOSÉ ARÉVALO BERMEJO""",1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO FRANCÉS,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNOLÓGICO MAYA DE GUATEMALA III,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO NACIONAL  DE EDUCACIÓN DIVERSIFICADA TIERRA NUEVA I,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE EDUCACIÓN EXTRAESCOLAR-CEEX GRUPO CEIBA-GRUCE,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE EDUCACION EXTRAESCOLAR -CEEX-,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TÉCNICO CENTROAMERICANO DE OPTOMETRÍA,1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO ""CRISTIANO GUATEMALTECO""",1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO TÉCNICO INDUSTRIAL ""LUIS CARDOZA Y ARAGÓN""",1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO DE INNOVACIÓN TECNOLÓGICA  EDUCATIVA (C.I.T.E.),1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO PROFESIONAL EN COMPUTACIÓN Y CIENCIAS COMERCIALES,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO DE FORMACIÓN PROFESIONAL EN COMPUTACIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO EN COMPUTACIÓN ""IMANOL""",1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO TECNOLÓGICO CENTRO CULTURAL DE LAS AMERICAS,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO CLÁSICO EN COMPUTACIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TECNOLÓGICO DIGITALES COMERCIALES II,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TECNOLÓGICO DIGITALES COMERCIALES,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO MIXTO EN COMPUTACIÓN IXCHEL,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO CIENTIFICO COMERCIAL EN COMPUTACIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO PROFESIONAL DE INFORMÁTICA Y TECNOLOGÍA,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO TECNOLÓGICO DE COMPUTACIÓN LA MERCED,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNOLÓGICO GUATEMALA DE LA ASUNCIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO TECNOLÓGICO LA MISIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO PROFESIONAL DE ESTUDIOS DE COMPUTACIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO DE ESTUDIOS ESPECIALIZADOS EN CIENCIAS DE LA COMPUTACIÓN,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE ESTUDIOS COMERCIALES EN INFORMÁTICA,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE ESTUDIOS TECNOLÓGICOS,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO BILINGUE SANTA MARÍA,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PROFESIONAL DE TÉCNICAS COMERCIALES ESPECIALIZADAS  IPTCE,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO DE COMPUTACION  C.S.S.,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO   GUILLERMO PUTZEYS ÁLVAREZ,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA RAFAEL LANDIVAR,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO  JIREH,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PROFESIONAL AMERICANO 'ROBERT GREGG',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA COLEGIO  BROWN S,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO AMERICANO DE CONOCIMIENTOS.,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE ESTUDIOS TECNOLOGICOS TECNO PRO,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO PREUNIVERSITARIO DE COMPUTACION,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO TECNICO SUPERIOR,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO 'GUATEMALTECO DE COMPUTACION',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO 'PREUNIVERSITARIO DE COMPUTACION',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO AMERICANO EN CIENCIAS DE COMPUTACION POR MADUREZ,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO TECNICO AMERICANO,1
ESTABLECIMIENTO,categoria duplicada por escritura,"ROYALTY, ESCUELA INTERNACIONAL DE VIAJES TURISMO Y COMERCIO",1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO MIXTO 'MIGUEL DE CERVANTES',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO  FEDERICO CROWE,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO DE COMPUTACION 'SIGLO 21' NO.3,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO MIXTO EN COMPUTACION  IXCHEL,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO FEDERICO CROWE,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO 'LA VERDAD',1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TÉCNICO  CIENCIA Y DESARROLLO,1
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA NACIONAL DE FORMACION SECRETARIAL NO. 2,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO TECNOLOGICO DE COMPUTACION LA MERCED S.A.,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO DE COMPUTACION  SIGLO 21  NO.3,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO O'MEANY,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO 'RAFAEL LANDIVAR',1
ESTABLECIMIENTO,categoria duplicada por escritura,"CENTRO TECNICO DE TURISMO, BANCA Y COMERCIO 'JOHN GLENN'",1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO PAULO FREIRE,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO TECNOLÓGICO METROPOLITANO  DE GUATEMALA,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MAYB'AL,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PROFESIONAL EN COMPUTACION 'EL AMIGO DE LA PATRIA',1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE COMPUTACION  IMB-PC,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO BILINGUE EN COMPUTACION 'BEHULA',1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO MIXTO  ""INDO LATINO""",1
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO PARTICULAR PARA SEÑORITAS ""NUESTRA SEÑORA DEL CARMEN""",1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO BILINGUE EN COMPUTACION BEHULA,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO BILINGÜE ESPECIALIZADO EN COMPUTACIÓN YULIMAY´PC  (POR MADUREZ),1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO 'PANAMERICANO',1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO 'MONTENEVADO',1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO Y ACADEMIA GUATEMALA COMERCIAL,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO  RAFAEL LANDIVAR,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO EN COMPUTACION DEL VALLE,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO EDUCATIVO EN COMPUTACION 'GENESIS',1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO EN COMPUTACION IMANOL,1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO TECNOLOGICO DE COMPUTACION LA MERCED,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO MIXTO EN COMPUTACION 'IMANOL',1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO 'VALVERDE',1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE ESTUDIOS PREUNIVERSITARIOS DR. BUCHNER,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO  LA VERDAD,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO JOSE DE SAN MARTIN,1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO EVANGELICO MIXTO ""LA PATRIA""",1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO ""SAN ANGEL""",1
ESTABLECIMIENTO,categoria duplicada por escritura,ESCUELA JUANA DE ARCO MIXTA,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO TÉCNICO AMERICANO,1
ESTABLECIMIENTO,categoria duplicada por escritura,LICEO SAN RAFAEL ARCÀNGEL,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO EVANGÉLICO MIXTO LA PATRIA,1
ESTABLECIMIENTO,categoria duplicada por escritura,"ESCUELA TÉCNICA SUPERIOR ""ALINARI""",1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO BILINGÜE ANGLOAMERICANO,1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO SANTA SOFÍA DE JESÚS,1
ESTABLECIMIENTO,categoria duplicada por escritura,"PROGRAMA NACIONAL DE EDUCACION ALTERNATIVA,  PRONEA",1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO DE EDUCACIÓN EXTRAESCOLAR - CEEX,1
ESTABLECIMIENTO,categoria duplicada por escritura,"COLEGIO ""SAN ÁNGEL""",1
ESTABLECIMIENTO,categoria duplicada por escritura,"INSTITUTO PRIVADO MIXTO TECNOLÓGICO EXPERIMENTAL ""FEDERICO TAYLOR""",1
ESTABLECIMIENTO,categoria duplicada por escritura,CENTRO TECNOLOGICO DE COMPUTACIÓN LA MERCED,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA PRACTICO MODERNO,1
ESTABLECIMIENTO,categoria duplicada por escritura,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA 'PRACTICO MODERNO',1
ESTABLECIMIENTO,categoria duplicada por escritura,COLEGIO DE COMPUTACION  BLAISE PASCAL,1
