ESTABLECIMIENTO,Frecuencia,Porcentaje
CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACION EN COMPUTACION,3,0.11
CENTRO EDUCATIVO COMUNITARIO BILINGUE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO,3,0.11
LICEO TECNOLÓGICO FÉNIX,3,0.11
INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA,3,0.11
COLEGIO MIXTO  ZAMANEB,3,0.11
"CENTRO EDUCATIVO ""NUEVA ESPERANZA""",3,0.11
EODP ANEXA A LA ESCUELA OFICIAL RURAL MIXTA,3,0.11
EODEE,3,0.11
EDAB,3,0.11
COLEGIO PARTICULAR MIXTO  PURULHÁ PROFESORA MARÍA ZOE LÓPEZ,3,0.11
"COLEGIO ""LA INMACULADA""",2,0.07
ESCUELA NACIONAL DE CIENCIAS COMERCIALES,2,0.07
INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,2,0.07
COLEGIO HISPANOAMERICANO,2,0.07
"COLEGIO PARTICULAR MIXTO ""ANTON DE MONTESINOS""",2,0.07
"COLEGIO DE INFORMÁTICA ""CENINFAV""",2,0.07
INSTITUTO MIXTO PRIVADO SANTO DOMINGO,2,0.07
INSTITUTO PRIVADO MIXTO MONJA BLANCA,2,0.07
COLEGIO MIXTO LA EXCELENCIA,2,0.07
LICEO DR. RICARDO BRESSANI,2,0.07
COLEGIO PARTICULAR MIXTO CARLOS V,2,0.07
ESCUELA NORMAL DE EDUCACION FISICA,2,0.07
LICEO SANTA CRUZ,2,0.07
LICEO  GALILEO GALILEI,2,0.07
"CENTRO DE FORMACIÓN ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL ""JACK & MARIE EITING""",2,0.07
COLEGIO MIXTO VALLE DEL POLOCHIC,2,0.07
COLEGIO PRIVADO MIXTO 'SAGRADO CORAZON',2,0.07
"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-SENAHÚ ""CEPREC SENAHÚ""",2,0.07
CENTRO EDUCATIVO NUEVA VIDA,2,0.07
INSTITUTO TECNICO DIVERSIFICADO DE BACHILLERATO EN CONSTRUCCION,2,0.07
CENTRO EDUCATIVO AK NALEB,2,0.07
INSTITUTO PRIVADO MIXTO DE DESARROLLO LOCAL,2,0.07
INSTITUTO TECNICO EN RECURSOS NATURALES,2,0.07
INSTITUTO MIXTO BILINGÜE INTERCULTURAL CHOSAAM,2,0.07
"INSTITUTO MIXTO PRIVADO ""FRANCISCO OSWALDO REYES NARCISO""",2,0.07
"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-LANQUÍN ""CEPREC LANQUÍN""",2,0.07
INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,2,0.07
COLEGIO CRISTIANO GALILEA,2,0.07
COLEGIO MIXTO PRIVADO ASDECHI,2,0.07
INSTITUTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA DE ENSEÑANZA,2,0.07
LICEO MONTE SIÓN,2,0.07
