ESTABLECIMIENTO,Frecuencia,Porcentaje
INEB ADSCRITO A ENBI OXLAJUJ NO´OJ,1,0.04
CENTRO DE EDUCACION INTEGRAL -PAIN-,1,0.04
EODP ANEXA A EOUN,1,0.04
EODP ANEXA A EOUV,1,0.04
ENBI OXLAJUJ NO´OJ,1,0.04
"CENTRO DE ESTUDIOS MAGISTERIALES ""CEM""",1,0.04
CENTRO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN,1,0.04
EODP NO 1,1,0.04
EODP MUNDO MAGICO,1,0.04
EPDP ANEXA A 'LICEO RABINAL ACHI',1,0.04
EPPA PARROQUIAL 'SAN PABLO',1,0.04
EOUN,1,0.04
EOUV,1,0.04
LICEO MIXTO 'RABINAL ACHI',1,0.04
EOUM REGIONAL,1,0.04
EORM FRATERNO VILA BETORET,1,0.04
EORM BELICE,1,0.04
LICEO MIXTO NOCTURNO DE EDUCACION BASICA 'RABINAL ACHI',1,0.04
INEB CON ORIENTACION OCUPACIONAL,1,0.04
IPMB COLEGIO 'ZAMANEB',1,0.04
LICEO PRIVADO MIXTO DE CIENCIAS COMERCIALES 'RABINAL ACHI',1,0.04
CENTRO EDUCATIVO FE Y ALEGRÍA NO. 58,1,0.04
COLEGIO MIXTO 'NAZARENO',1,0.04
COLEGIO MIXTO NAZARENO,1,0.04
CEIN ANEXO A EORM,1,0.04
CPPB ANEXO A ESCUELA BILINGUE JUN TOJ,1,0.04
ESCUELA BILINGUE JUN TOJ,1,0.04
CENTRO EDUCATIVO MAYA RABINALEB,1,0.04
CENTRO EDUCATIVO MAYA RAB'INALEB',1,0.04
EODP ANEXA A EOUM REGIONAL,1,0.04
EMRM LA LADRILLERA,1,0.04
EMRM LA LADRILLERA ANEXA A EORM,1,0.04
CEES AMIGOS ANEXO A EOUM REGIONAL,1,0.04
COPB ANEXO A EORM BELICE,1,0.04
COLEGIO MIXTO PRIVADO  MARIA ESMERALDA,1,0.04
CENTRO EDUCATIVO  MEDALLA MILAGROSA,1,0.04
INSTITUTO PRIVADO MIXTO   SAN LAZARO,1,0.04
EOUM PEM. RICARDO JUAREZ ARELLANO,1,0.04
COLEGIO PRIVADO MIXTO 'CENTRO CULTURAL DE AMERICA',1,0.04
COLEGIO PARTICULAR MIXTO 'VIDA NUEVA' (POR MADUREZ),1,0.04
ESCUELA NORMAL BILINGÜE INTERCULTURAL OXLAJUJ NO´OJ,1,0.04
COLEGIO PARTICULAR MIXTO  VIDA NUEVA,1,0.04
CENTRO EDUCATIVO EDUCACION PARA EL FUTURO ASECSA BAJA VERAPAZ,1,0.04
'ESCUELA BILINGUE JUN TOJ',1,0.04
COLEGIO INTEGRAL 'NUEVA GENERACION',1,0.04
"EODP COLONIA CHICUXTÍN, ALDEA CHICUXTÍN",1,0.04
EORM CASERÍO LACANDON DE LA ALDEA PATZOCON,1,0.04
"EORM CASERIO PACHIJUL, ALDEA LOS PAJALES",1,0.04
EOUM 'JUAN DE DIOS DIAZ DUBON',1,0.04
EORM 'FRANCISCO LAINFIESTA',1,0.04
EORM TECUN UMAN,1,0.04
CENTRO EDUCATIVO OFICIAL NUEVO DIA,1,0.04
COPB EORM,1,0.04
EOUN JUAN DE DIOS DIAZ DUBON,1,0.04
EOUV 'JUAN DE DIOS DIAZ DUBON',1,0.04
EDAC -PRONADE-ANEXA,1,0.04
CENTRO EDUCATIVO COMUNITARIO PADRE JUAN VALLS CRESPO,1,0.04
COLEGIO CRISTIANO RAYITOS DE ESPERANZA,1,0.04
INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO (POR MADUREZ),1,0.04
COLEGIO CRISTIANO 'RAYITOS DE ESPERANZA',1,0.04
COLEGIO CRISTIANO NUEVA VISION,1,0.04
NUCLEO FAMILIAR PARA EL DESARROLLO EDUCATIVO NUFED NO.289,1,0.04
COLEGIO PARTICULAR MIXTO  NUEVO AMANECER,1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED N.64,1,0.04
COLEGIO PARTICULAR MIXTO VALLE DEL URRAM,1,0.04
EODP REINO DE NORUEGA,1,0.04
EOUM 'EUFEMIA CORDOVA',1,0.04
EODP ANEXA EOUM'EUFEMIA CORDOVA',1,0.04
COLEGIO PARTICULAR MIXTO  VALLE DEL URRAM,1,0.04
EOUM EUFEMIA CORDOVA,1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED 65,1,0.04
EORM CASERÍO LOS MANGALES,1,0.04
CENTRO DE EDUCACIÓN INTEGRAL CEIN-PAIN,1,0.04
INSTITUTO TÉCNICO DE CAPACITACIÓN Y PRODUCTIVIDAD INTECAP,1,0.04
EORM 'CIUDAD SAN PEDRO CARCHA',1,0.04
EPDP ANEXA A COLEGIO 'EL VALLE VERAPAZ',1,0.04
COLEGIO PARTICULAR 'EL VALLE VERAPAZ',1,0.04
CEIN,1,0.04
COLEGIO PRIVADO MIXTO 'EL VALLE VERAPAZ',1,0.04
INSTITUTO DE EDUCACIÓN BÁSICA POR COOPERATIVA,1,0.04
CEIN - PAIN,1,0.04
COPB ANEXO A ESCUELA OFICIAL RURAL MIXTA CIUDAD SAN PEDRO CARCHÁ,1,0.04
EODP ANEXA EOUM NO. 2,1,0.04
COLEGIO CRISTIANO 'NUEVA JERUSALEM',1,0.04
COLEGIO CRISTIANO 'NUEVA JERUSALEN',1,0.04
JARDIN INFANTIL S.O.S 'HERMANN GMEINER',1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED N. 280,1,0.04
EODP ANEXA A EOUM NO. 1,1,0.04
INSTITUTO MIXTO DE EDUCACIÓN BILINGÜE INTERCULTURAL IMEBI,1,0.04
EORM COMUNIDAD INDÍGENA VALLE VERDE,1,0.04
COPB ANEXO A EORM COMUNIDAD INDÍGENA VALLE VERDE,1,0.04
COPB ANEXO A LA ESCUELA RURAL MIXTA,1,0.04
EODP ANEXA A EOUM  JOSE MARIA BONILLA RUANO,1,0.04
COPB ANEXO A ESCUELA RURAL MIXTA,1,0.04
EODP ANEXA A ESCUELA OFICIAL RURAL MIXTA,1,0.04
EDAC -PRONADE ANEXA,1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED N. 63,1,0.04
"COLEGIO CRISTIANO PARTICULAR MIXTO ""VIDA""",1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED N. 271,1,0.04
NUCLEO FAMILIAR EDUCATIVO PARA EL DESARROLLO NUFED NO.529,1,0.04
CEES EL NOMBRE,1,0.04
