PLAN,Frecuencia,Porcentaje
DIARIO(REGULAR),7452,62.8
FIN DE SEMANA,2898,24.42
SEMIPRESENCIAL (FIN DE SEMANA),542,4.57
SEMIPRESENCIAL (UN DÍA A LA SEMANA),437,3.68
A DISTANCIA,188,1.58
SEMIPRESENCIAL,118,0.99
VIRTUAL A DISTANCIA,70,0.59
SEMIPRESENCIAL (DOS DÍAS A LA SEMANA),67,0.56
SABATINO,59,0.5
DOMINICAL,27,0.23
MIXTO,4,0.03
IRREGULAR,3,0.03
INTERCALADO,2,0.02
