CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
16-09-9259-46,16-09-0981,ALTA VERAPAZ,SAN PEDRO CARCHA,"COLEGIO ""STHELLA DE HERNANDEZ""",DIAGONAL 2 10-73 ZONA 2 BARRIO SAN PABLO,49837580,JORGE EDUARDO PAQUE LÁZARO,JABES NATANAEL CHÓ CÚ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-10-0001-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,"LICEO COEDUCATIVO PRIVADO ""JAVIER DE LA VERAPAZ""",KILOMETRO 218.5 SEDE REGIONAL UNIVERSIDAD RAFAEL LANDIVAR,78208583-78209143,EDUARDO YALIBAT,JULIO CESAR SAMAYOA ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0050-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,CENTRO EDUCATIVO AK NALEB,BARRIO SAN LUIS,45066470,EDUARDO YALIBAT,EVELYN PATRICIA ROSALES LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-10-0051-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,CENTRO EDUCATIVO AK NALEB,BARRIO SAN LUIS,,EDUARDO YALIBAT,EVELYN PATRICIA ROSALES LOPEZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0052-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO PRIVADO MIXTO DE DESARROLLO LOCAL,1A CALLE 0-07 ZONA 1,55147639,EDUARDO YALIBAT,CLARA LUZ ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-10-0053-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,COLEGIO SAN FRANCISCO JAVIER DE LA VERAPAZ,"0 CALLE 5-98, ZONA 4",77208313,EDUARDO YALIBAT,MARTHA MARIA BOSARREYES VALENZUELA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0056-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO PRIVADO MIXTO DE DESARROLLO LOCAL,1A CALLE 0-07 ZONA 1,55147639,EDUARDO YALIBAT,CLARA LUZ ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0062-46,16-10-0989,ALTA VERAPAZ,SAN JUAN CHAMELCO,COLEGIO PARTICULAR MIXTO KAIROS,0 AVENIDA 1A. CALLE NO. 002 ZONA 4 BARRIO SANTO DOMINGO,42435520,TEODORO ALBERTO PÉREZ DUERING,EDWIN NAZARETH MELÉNDEZ FERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0063-46,16-10-0989,ALTA VERAPAZ,SAN JUAN CHAMELCO,COLEGIO PARTICULAR MIXTO KAIROS,0 AVENIDA 1A CALLE NO. 002 ZONA 4 BARRIO SANTO DOMINGO,42435520,TEODORO ALBERTO PÉREZ DUERING,EDWIN NAZARETH MELÉNDEZ FERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0064-46,16-10-0989,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"2A. AVENIDA 7-66 ZONA DOS, BARRIO SANTA ANA ORIENTAL",30744270,TEODORO ALBERTO PÉREZ DUERING,YESSICA PAHOLA HO ISEM,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0065-46,16-10-0988,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO GUATEMALTECO VERAPACENSE,BARRIO RESURRECCIÓN,36365262,OSCAR WALDEMAR MILIÁN TIUL,SEYLI ARACELY RAMOS BELTETON,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0066-46,16-10-0988,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO GUATEMALTECO VERAPACENSE,BARRIO RESURRECCIÓN,36365262,OSCAR WALDEMAR MILIÁN TIUL,JUAN  RAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-10-0067-46,16-019,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO TECNICO EN RECURSOS NATURALES,FINCA MUNICIPAL CHIPAR,79500480,EDUARDO YALIBAT,ESTEBAN SECUNDINO SÁNCHEZ MORALES,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0069-46,16-022,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,BARRIO SAN NICOLAS,48930681,HORACIO WALDEMAR JUÁREZ ARGUETA,-,DIVERSIFICADO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0072-46,16-10-0989,ALTA VERAPAZ,SAN JUAN CHAMELCO,COLEGIO PARTICULAR MIXTO KAIROS,1ERA. CALLE 0-02 ZONA 4,42435520,TEODORO ALBERTO PÉREZ DUERING,EDWIN NAZARETH MELÉNDEZ FERNÁNDEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-10-0138-46,16-10-0988,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO GUATEMALTECO VERAPACENSE,BARRIO RESURRECCIÓN,36365262,OSCAR WALDEMAR MILIÁN TIUL,JUAN  RAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-0140-46,16-10-0988,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO GUATEMALTECO VERAPACENSE,BARRIO RESURRECCIÓN,36365262,OSCAR WALDEMAR MILIÁN TIUL,JUAN  RAX,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-10-0150-46,16-10-0990,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO MIXTO BILINGÜE INTERCULTURAL CHOSAAM,ALDEA CHAMIL,32858391,EDUARDO YALIBAT,ALFONSO  CHO SAM,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-10-0151-46,16-10-0990,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO MIXTO BILINGÜE INTERCULTURAL CHOSAAM,ALDEA CHAMIL,32858391,EDUARDO YALIBAT,ALFONSO  CHO SAM,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-10-0155-46,16-10-0991,ALTA VERAPAZ,SAN JUAN CHAMELCO,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA CHAMIL,40316009,ALFONZO SI XOL,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-1400-46,16-10-0989,ALTA VERAPAZ,SAN JUAN CHAMELCO,INSTITUTO TECNICO EN RECURSOS NATURALES,FINCA MUNICIPAL CHIPAR,79500480,TEODORO ALBERTO PÉREZ DUERING,ALLAN NOEL MACZ CHIQUIN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-10-3816-46,,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO DE BACHILLERATO EN COMPUTACION Y EDUCACION PARA EL HOGAR 'MBM' JM,,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-7307-46,,ALTA VERAPAZ,SAN JUAN CHAMELCO,LICEO PRE-UNIVERSITARIO DEL NORTE,"2A. CALLE 6-41, ZONA 4",,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-10-9601-46,16-10-0988,ALTA VERAPAZ,SAN JUAN CHAMELCO,CENTRO EDUCATIVO MENONITA Q EQCHI  BEZALEEL,ALDEA SAQUIJA,79500397,OSCAR WALDEMAR MILIÁN TIUL,FRANCISCO  BERNAL GONZÁLEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-11-0003-46,16-021,ALTA VERAPAZ,LANQUIN,"INSTITUTO MIXTO PRIVADO ""FRANCISCO OSWALDO REYES NARCISO""",BARRIO SAN NICOLAS,57073563,OSCAR WALDEMAR MILIÁN TIUL,LUIS ROMEO BAILÓN DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-11-0027-46,16-11-0992,ALTA VERAPAZ,LANQUIN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SAN NICOLAS,49823719,CECILIO DADAI OVANDO AZURDIA,ANA MARIELA JUÁREZ FIGUEROA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-11-0055-46,16-021,ALTA VERAPAZ,LANQUIN,INSTITUTO MIXTO DE EDUCACIÒN BILINGÜE INTERCULTURAL IMEBI,COLONIA BELEN,79514189,OSCAR WALDEMAR MILIÁN TIUL,VILMA DOMINGA ASIG POP,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-11-0057-46,16-11-0992,ALTA VERAPAZ,LANQUIN,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO SAN NICOLAS,49823719,CECILIO DADAI OVANDO AZURDIA,ANA MARIELA JUÁREZ FIGUEROA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-11-0059-46,16-11-0992,ALTA VERAPAZ,LANQUIN,"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-LANQUÍN ""CEPREC LANQUÍN""",COLONIA BELEN,45353648,CECILIO DADAI OVANDO AZURDIA,EDGAR GABRIEL LOPEZ GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-11-0060-46,16-11-0992,ALTA VERAPAZ,LANQUIN,"CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN-LANQUÍN ""CEPREC LANQUÍN""",COLONIA BELEN,45353648,CECILIO DADAI OVANDO AZURDIA,EDGAR GABRIEL LOPEZ GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-11-0062-46,16-11-0992,ALTA VERAPAZ,LANQUIN,"INSTITUTO MIXTO PRIVADO ""FRANCISCO OSWALDO REYES NARCISO""",BARRIO SAN NICOLAS,57073563,CECILIO DADAI OVANDO AZURDIA,LUIS ROMEO BAILÓN DE LA CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-11-0089-46,16-050,ALTA VERAPAZ,LANQUIN,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,COLONIA BELÉN,55240728,MAXIMILIANO CHUB ICAL,MARIANA EIZABETH ARGUETA CÓRDOVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-11-0092-46,16-11-0994,ALTA VERAPAZ,LANQUIN,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA CHINAMA,49537119,CECILIO DADAI OVANDO AZURDIA,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-11-9092-46,16-11-0992,ALTA VERAPAZ,LANQUIN,INSTITUTO MIXTO PRIVADO DE MAGISTERIO BILINGUE,CABECERA,30907134,CECILIO DADAI OVANDO AZURDIA,JORGE MARIO JUÁREZ FIGUEROA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0113-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE ESTUDIOS PREUNIVERSITARIOS CAHABON -CEPREC-,BARRIO SAN PABLO,45353648,HORACIO WALDEMAR JUÁREZ ARGUETA,ERNESTO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0125-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,BARRIO CENTRO,58195118,HORACIO WALDEMAR JUÁREZ ARGUETA,ABRAHAM  IXÍM COC,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0162-46,16-022,ALTA VERAPAZ,SANTA MARIA CAHABON,LICEO LEONARDO DA VINCI L L D,BARRIO SAN PABLO,45353648,HORACIO WALDEMAR JUÁREZ ARGUETA,ARNOLDO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0182-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO AGROECOLÓGICO DE EDUCACIÓN BILINGUE FRAY DOMINGO DE VICO,BARRIO SAN PEDRO,30708664,HORACIO WALDEMAR JUÁREZ ARGUETA,JOSÉ FILIBERTO QUIM XOL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0189-46,16-12-0997,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA PINARES,46367384,MARTA MARÍA CHOC AX,SAUL  XÍ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0192-46,16-022,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-,BARRIO SAN PABLO,45353648,HORACIO WALDEMAR JUÁREZ ARGUETA,ERNESTO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0195-46,16-022,ALTA VERAPAZ,SANTA MARIA CAHABON,FUNDACIÓN FRAY DOMINGO DE VICO,BARRIO SAN PEDRO,57253608,HORACIO WALDEMAR JUÁREZ ARGUETA,RUDY LEONARDO CHOCÓ MO,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0199-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-,BARRIO SAN PABLO,45353648,HORACIO WALDEMAR JUÁREZ ARGUETA,ERNESTO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-12-0202-46,16-023,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABÓN -CEPREC-,BARRIO SAN PABLO,45353648,ELVIS BENJAMÍN IXÍM HERNANDEZ,ERNESTO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-12-0203-46,16-050,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE EDUCACIÓN EXTRAESCOLAR,SANTA MARIA CAHABON,46918324,MAXIMILIANO CHUB ICAL,CRUZ ALBERTO POP CHÓ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-12-0222-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,CENTRO DE ESTUDIOS PREUNIVERSITARIO CAHABON -CEPREC-,BARRIO SAN PABLO,45353648,HORACIO WALDEMAR JUÁREZ ARGUETA,ERNESTO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-12-0272-46,16-12-0997,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA BELÉN,44828192,MARTA MARÍA CHOC AX,MARIO  ASIG CAAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0274-46,16-12-0999,ALTA VERAPAZ,SANTA MARIA CAHABON,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA SETZACPEC,51625617,ELVIS BENJAMÍN IXIM HERNÁNDEZ,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0275-46,16-12-1000,ALTA VERAPAZ,SANTA MARIA CAHABON,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA TUILA,31385107,ERWIN ROLANDO CHUB CAAL,CARMEN ALCIRA ARGUETA AX,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0276-46,16-12-0999,ALTA VERAPAZ,SANTA MARIA CAHABON,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,CASERÍO TAQUINCO LA ESPERANZA,53493645,ELVIS BENJAMÍN IXIM HERNÁNDEZ,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-0277-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,INED  INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,COLONIA SECAMPANA,32638298,HORACIO WALDEMAR JUÁREZ ARGUETA,,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-1612-46,16-022,ALTA VERAPAZ,SANTA MARIA CAHABON,LICEO  SANTA MARIA,BARRIO SAN PABLO,45353648,HORACIO WALDEMAR JUÁREZ ARGUETA,ERNESTO  YAXCAL CUZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-12-9214-46,16-12-0998,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO MIXTO MUNICIPAL DE MAGISTERIO BILINGUE SEPOC,ALDEA SEPOC,37297644,JUAN RAFAEL QUIB SAGASTUME,RIGOBERTO  CHO POP,DIVERSIFICADO,MUNICIPAL,RURAL,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-12-9215-46,16-12-0995,ALTA VERAPAZ,SANTA MARIA CAHABON,INSTITUTO PARTICULAR RICARDO ARJONA,BARRIO SAN JUAN,53892435,HORACIO WALDEMAR JUÁREZ ARGUETA,CÉSAR ENRIQUE GONZÁLEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-13-0225-46,16-13-1003,ALTA VERAPAZ,CHISEC,LICEO MIXTO EN COMPUTACION DEL NORTE,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",31539323,CÉSAR ROLANDO CHOCOOJ YALIBAT,KARIN JANNETT HERRERA COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-13-0226-46,16-024,ALTA VERAPAZ,CHISEC,LICEO MIXTO EN COMPUTACION DEL NORTE,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",56626889,CESAR ROLANDO CHOCOOJ YALIBAT,KARIN JANNETT HERRERA COY,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-13-0227-46,16-026,ALTA VERAPAZ,CHISEC,INSTITUTO MIXTO DE EDUCACION BILINGUE INTERCULTURAL -IMEBI-,ALDEA CHIQUIBUL,45565203,EDETANO OXOM YAT,DANIEL RAMOS TOMAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-13-0228-46,16-024,ALTA VERAPAZ,CHISEC,COLEGIO CRISTIANO GALILEA,PARCELA NO. 1 COMUNIDAD SAN SIMON NO. II,57405697,CESAR ROLANDO CHOCOOJ YALIBAT,HECTOR DAVID NUILA SAGÜÍ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-13-0240-46,16-13-1003,ALTA VERAPAZ,CHISEC,"LICEO MIXTO PRIVADO ""SENDEROS PARA LA VIDA""",BARRIO LA FLORIDA,79510080,CÉSAR ROLANDO CHOCOOJ YALIBAT,HUMBERTO  CHEN CABNAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-13-0249-46,16-13-1006,ALTA VERAPAZ,CHISEC,INSTITUTO MIXTO DE EDUCACIÓN FORTALEZA DEL FUTURO -INMEFF-,ALDEA CHIQUIBUL,51709961,CARLOS ARMANDO PAAU TZI,AUGUSTO  ORTIZ ORDOÑEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-13-0252-46,16-13-1008,ALTA VERAPAZ,CHISEC,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA SAMOCOCH,31453164,DOUGLAS OSMUNDO LÓPEZ BARRIENTOS,--,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-13-0254-46,16-13-1003,ALTA VERAPAZ,CHISEC,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,BARRIO EL CENTRO,40945091,CÉSAR ROLANDO CHOCOOJ YALIBAT,GABRIELA SARAÍ CUELLAR LEAL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-13-0263-46,16-024,ALTA VERAPAZ,CHISEC,COLEGIO MIXTO PRIVADO ASDECHI,BARRIO EL CENTRO,53809529,CESAR ROLANDO CHOCOOJ YALIBAT,ISAIAS  ISEM MACZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,FIN DE SEMANA,ALTA VERAPAZ
16-13-0264-46,16-13-1003,ALTA VERAPAZ,CHISEC,COLEGIO MIXTO PRIVADO ASDECHI,BARRIO EL CENTRO,53809529,CÉSAR ROLANDO CHOCOOJ YALIBAT,ISAIAS  ISEM MACZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ALTA VERAPAZ
16-13-0265-46,16-13-1003,ALTA VERAPAZ,CHISEC,COLEGIO CRISTIANO GALILEA,COMUNIDAD SAN SIMON II,57405697,CÉSAR ROLANDO CHOCOOJ YALIBAT,ESVIN ABEL MARROQUÍN HERNÁNDEZ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),ALTA VERAPAZ
16-13-0267-46,16-13-1005,ALTA VERAPAZ,CHISEC,CENTRO DE EDUCACIÓN EXTRAESCOLAR,CHISEC,46585879,OSVALDO CAAL CHOC,VILMA ANTONIETA RAX CHON,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,DOBLE,SEMIPRESENCIAL,ALTA VERAPAZ
16-13-0270-46,16-13-1003,ALTA VERAPAZ,CHISEC,"COLEGIO MIXTO PRIVADO ""ASDECHI""",BARRIO EL CENTRO,53809529,CÉSAR ROLANDO CHOCOOJ YALIBAT,ISAIAS  ISEM MACZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
16-13-0274-46,16-13-1003,ALTA VERAPAZ,CHISEC,LICEO MIXTO EN COMPUTACIÓN DEL NORTE,"1A. CALLE Y 2A. AVENIDA LOTE 204, BARRIO EL CENTRO",31539323,CÉSAR ROLANDO CHOCOOJ YALIBAT,KARIN JANNETT HERRERA COY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),ALTA VERAPAZ
